City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-gentil,-0.7193,8.7815,26.99,83,97,2.12,GA,1683693781
1,albany,42.6001,-73.9662,8.23,63,2,0.89,US,1683693686
2,cabo san lucas,22.8909,-109.9124,25.61,74,14,6.52,MX,1683693548
3,mogadishu,2.0371,45.3438,27.93,83,40,5.14,SO,1683693782
4,pisco,-13.7,-76.2167,20.03,83,75,4.12,PE,1683693782
5,egilsstadir,65.2653,-14.3948,5.95,93,100,1.54,IS,1683693783
6,xique xique,-10.8217,-42.7311,24.85,66,79,3.88,BR,1683693783
7,vangaindrano,-23.35,47.6,21.75,90,11,0.99,MG,1683693784
8,praia da vitoria,38.7333,-27.0667,18.2,94,40,7.23,PT,1683693784
9,sampit,-2.5333,112.95,30.03,68,100,1.22,ID,1683693784
10,saint-joseph,-21.3667,55.6167,26.37,75,46,4.56,RE,1683693785
11,chui,-33.6971,-53.4616,11.81,78,74,2.68,UY,1683693785
12,port elizabeth,-33.918,25.5701,13.51,99,0,1.54,ZA,1683693786
13,enewetak,11.3474,162.3373,27.28,84,93,7.75,MH,1683693786
14,puerto natales,-51.7236,-72.4875,1.99,90,69,1.2,CL,1683693786
15,iqaluit,63.7506,-68.5145,-6.15,93,0,0.0,CA,1683693787
16,qaqortoq,60.7167,-46.0333,1.84,85,100,1.66,GL,1683693787
17,vernon,50.2581,-119.2691,16.2,67,82,1.54,CA,1683693612
18,baiyin,36.5583,104.2081,13.18,30,100,7.16,CN,1683693554
19,port-aux-francais,-49.35,70.2167,4.93,95,100,13.92,TF,1683693789
20,san antonio de pale,-1.4014,5.6325,27.77,81,56,3.7,GQ,1683693712
21,adamstown,-25.066,-130.1015,21.84,57,94,4.57,PN,1683693790
22,urengoy,65.9667,78.3667,0.6,99,100,1.56,RU,1683693790
23,yei,4.095,30.6779,19.8,93,100,1.73,SS,1683693791
24,la ronge,55.1001,-105.2842,15.12,54,75,3.09,CA,1683693679
25,tazovsky,67.4667,78.7,-6.08,93,100,6.13,RU,1683693791
26,anadyr,64.75,177.4833,0.28,74,0,1.79,RU,1683693792
27,olonkinbyen,70.9221,-8.7187,1.57,100,100,4.17,SJ,1683693792
28,lebu,-37.6167,-73.65,11.76,84,100,5.5,CL,1683693793
29,karbala,32.616,44.0249,27.9,32,1,5.53,IQ,1683693793
30,vadso,70.0744,29.7487,5.49,87,75,3.09,NO,1683693794
31,mo i rana,66.3128,14.1428,5.74,90,75,0.89,NO,1683693794
32,guerrero negro,27.9769,-114.0611,14.68,83,0,8.03,MX,1683693636
33,flying fish cove,-10.4217,105.6791,28.82,83,100,5.66,CX,1683693795
34,jiangyou,31.7667,104.7167,20.21,63,100,2.01,CN,1683693795
35,waitangi,-43.9535,-176.5597,16.57,94,94,5.81,NZ,1683693796
36,aleysk,52.4926,82.7822,12.9,66,100,2.79,RU,1683693796
37,colonia,50.9333,6.95,13.81,93,75,1.54,DE,1683693796
38,fale old settlement,-9.3852,-171.2468,29.13,76,53,6.78,TK,1683693797
39,vorkuta,67.5,64.0,-1.43,96,100,1.52,RU,1683693540
40,zheleznogorsk-ilimskiy,56.5768,104.1217,4.78,93,100,3.35,RU,1683693797
41,grytviken,-54.2811,-36.5092,1.13,97,100,1.82,GS,1683693623
42,punta arenas,-53.15,-70.9167,-1.94,93,0,0.51,CL,1683693798
43,papatowai,-46.5619,169.4708,7.57,86,52,6.03,NZ,1683693799
44,ilulissat,69.2167,-51.1,-1.99,86,100,3.6,GL,1683693652
45,tralee,52.2704,-9.7026,9.94,89,88,7.33,IE,1683693635
46,mar del plata,-38.0023,-57.5575,12.01,88,0,3.6,AR,1683693598
47,rawah,34.4816,41.9093,25.96,26,0,2.67,IQ,1683693800
48,bredasdorp,-34.5322,20.0403,13.22,86,99,2.0,ZA,1683693800
49,dudinka,69.4058,86.1778,-11.32,87,42,2.69,RU,1683693801
50,hermanus,-34.4187,19.2345,14.89,68,100,2.56,ZA,1683693651
51,blackmans bay,-43.0167,147.3167,15.07,63,49,4.63,AU,1683693636
52,coquimbo,-29.9533,-71.3436,11.85,100,100,0.51,CL,1683693584
53,palikir - national government center,6.9248,158.1611,30.41,79,100,4.12,FM,1683693802
54,dunedin,-45.8742,170.5036,7.11,87,98,1.79,NZ,1683693748
55,yellowknife,62.456,-114.3525,10.29,62,20,2.06,CA,1683693803
56,sitka,57.0531,-135.33,9.94,66,0,0.0,US,1683693804
57,hadibu,12.65,54.0333,28.86,62,100,1.08,YE,1683693804
58,kinel',53.2333,50.65,11.58,41,83,6.24,RU,1683693804
59,stanley,54.868,-1.6985,7.16,94,6,2.06,GB,1683693603
60,portland,45.5234,-122.6762,14.75,73,30,1.07,US,1683693677
61,mil'kovo,55.6078,37.7956,9.22,49,73,1.73,RU,1683693806
62,wailua homesteads,22.0669,-159.378,25.24,76,100,6.17,US,1683693806
63,jawf al maqbabah,13.8378,45.8349,25.6,45,64,1.76,YE,1683693806
64,lagunas,-5.2269,-75.6753,20.71,96,58,0.94,PE,1683693807
65,ushuaia,-54.8,-68.3,0.81,75,0,2.57,AR,1683693807
66,nago,26.5881,127.9761,25.25,66,52,6.33,JP,1683693808
67,cutral-co,-38.9469,-69.2089,8.84,44,45,0.45,AR,1683693808
68,klaksvik,62.2266,-6.589,8.51,92,59,2.95,FO,1683693691
69,quzhou,28.9594,118.8686,24.44,57,18,2.58,CN,1683693809
70,vorgashor,67.5833,63.95,-1.73,95,99,2.01,RU,1683693649
71,georgetown,5.4112,100.3354,32.97,66,40,2.57,MY,1683693809
72,talnakh,69.4865,88.3972,-11.55,89,85,3.3,RU,1683693810
73,ebon,4.582,168.6964,28.58,79,71,7.25,MH,1683693810
74,tiksi,71.6872,128.8694,-8.68,82,77,7.85,RU,1683693811
75,whitehorse,60.7161,-135.0538,9.45,37,75,7.72,CA,1683693514
76,corner brook,48.9667,-57.9484,3.09,90,100,5.46,CA,1683693811
77,edinburgh of the seven seas,-37.0676,-12.3116,12.75,63,58,9.72,SH,1683693812
78,puerto baquerizo moreno,-0.9,-89.6,26.17,86,52,4.47,EC,1683693812
79,carnarvon,-24.8667,113.6333,21.34,82,100,1.03,AU,1683693634
80,villa gesell,-37.2639,-56.973,7.81,71,55,5.17,AR,1683693813
81,hawaiian paradise park,19.5933,-154.9731,21.05,97,100,2.06,US,1683693641
82,iskateley,67.6803,53.1512,-0.47,83,100,4.63,RU,1683693814
83,tangjiazhuang,39.7333,118.45,28.5,14,82,3.56,CN,1683693814
84,katsuura,35.1333,140.3,18.16,61,14,5.27,JP,1683693814
85,susuman,62.7833,148.1667,6.71,52,36,7.41,RU,1683693787
86,bandon,51.7469,-8.7425,10.77,85,94,5.28,IE,1683693815
87,port lincoln,-34.7333,135.8667,16.37,65,25,5.42,AU,1683693815
88,fort mcmurray,56.7268,-111.381,12.73,76,0,1.03,CA,1683693816
89,sequeira,40.5536,-7.2259,5.55,72,97,2.72,PT,1683693816
90,sidi akkacha,36.4647,1.3026,20.16,81,23,3.5,DZ,1683693817
91,devils lake,48.1128,-98.8651,14.06,82,0,4.12,US,1683693817
92,invercargill,-46.4,168.35,8.34,95,69,1.34,NZ,1683693631
93,nagato,34.3833,131.2,19.72,54,83,2.8,JP,1683693818
94,illizi,26.4833,8.4667,16.89,45,6,0.72,DZ,1683693818
95,port mathurin,-19.6833,63.4167,25.45,74,3,5.71,MU,1683693819
96,hailey,43.5196,-114.3153,5.92,68,0,2.06,US,1683693715
97,mangrol,21.1167,70.1167,31.86,52,42,5.21,IN,1683693709
98,trincomalee,8.5711,81.2335,29.04,74,100,3.64,LK,1683693820
99,longyearbyen,78.2186,15.6401,-2.09,74,75,6.17,SJ,1683693820
100,magadan,59.5667,150.8,8.63,78,37,3.2,RU,1683693625
101,santarem,-2.4431,-54.7083,25.07,100,0,0.0,BR,1683693821
102,college,64.8569,-147.8028,13.97,39,75,2.06,US,1683693821
103,puerto ayora,-0.7393,-90.3518,25.31,98,28,0.89,EC,1683693581
104,ath thawrah,35.8469,38.5443,21.33,51,15,4.21,SY,1683693823
105,kristiansund,63.1115,7.732,12.36,58,75,1.54,NO,1683693823
106,bethel,41.3712,-73.414,10.87,73,1,1.21,US,1683693622
107,bilibino,68.0546,166.4372,-2.23,82,100,1.33,RU,1683693624
108,lazaro cardenas,17.9583,-102.2,26.47,78,0,2.04,MX,1683693625
